Target Distance: 100, Step Size: 2
6176: (x,y) = (343.914,1913.4)
6177: (x,y) = (355.152,1885.58)
6178: (x,y) = (337.519,1861.31)
6179: (x,y) = (366.496,1853.55)
6180: (x,y) = (343.182,1872.43)
6181: (x,y) = (349.931,1901.66)
6182: (x,y) = (347.316,1871.77)
6183: (x,y) = (317.971,1865.54)
6184: (x,y) = (322.147,1895.24)
6185: (x,y) = (328.895,1866.01)
6186: (x,y) = (358.781,1863.4)
6187: (x,y) = (386.788,1874.15)
6188: (x,y) = (370.449,1899.31)
6189: (x,y) = (380.71,1927.5)
6190: (x,y) = (392.912,1954.91)
6191: (x,y) = (367.471,1939.01)
6192: (x,y) = (397.101,1943.7)
6193: (x,y) = (400.237,1913.87)
6194: (x,y) = (370.351,1916.48)
6195: (x,y) = (352.718,1940.75)
6196: (x,y) = (381.083,1950.52)
6197: (x,y) = (400.765,1973.16)
6198: (x,y) = (386.221,1946.92)
6199: (x,y) = (364.28,1967.38)
6200: (x,y) = (342.339,1987.84)
6201: (x,y) = (353.091,1959.83)
6202: (x,y) = (336.751,1984.99)
6203: (x,y) = (361.622,2001.77)
6204: (x,y) = (337.663,2019.82)
6205: (x,y) = (318.784,1996.51)
6206: (x,y) = (330.986,2023.92)
6207: (x,y) = (304.747,2009.37)
6208: (x,y) = (329.322,2026.58)
6209: (x,y) = (299.614,2030.75)
6210: (x,y) = (270.636,2022.99)
6211: (x,y) = (240.709,2025.08)
6212: (x,y) = (229.958,1997.08)
6213: (x,y) = (256.447,1982.99)
6214: (x,y) = (241.902,1956.75)
6215: (x,y) = (214.287,1945.03)
6216: (x,y) = (206.523,1916.05)
6217: (x,y) = (197.252,1944.58)
6218: (x,y) = (194.116,1974.42)
6219: (x,y) = (183.856,1946.23)
6220: (x,y) = (203.139,1969.21)
6221: (x,y) = (174.607,1978.48)
6222: (x,y) = (168.37,2007.83)
6223: (x,y) = (183.37,2033.81)
6224: (x,y) = (202.654,2010.83)
6225: (x,y) = (176.939,2026.28)
6226: (x,y) = (147.103,2023.14)
6227: (x,y) = (119.096,2012.39)
6228: (x,y) = (90.564,2003.12)
6229: (x,y) = (105.108,1976.88)
6230: (x,y) = (132.924,1965.64)
6231: (x,y) = (106.194,1952.02)
6232: (x,y) = (86.9099,1929.04)
6233: (x,y) = (80.6726,1958.39)
6234: (x,y) = (66.5884,1931.9)
6235: (x,y) = (53.9099,1904.71)
6236: (x,y) = (26.7207,1892.03)
6237: (x,y) = (-3.27933,1892.03)
6238: (x,y) = (-5.89401,1921.92)
6239: (x,y) = (-17.1322,1949.73)
6240: (x,y) = (12.5758,1945.56)
6241: (x,y) = (-15.9559,1954.83)
6242: (x,y) = (-6.68535,1926.29)
6243: (x,y) = (-18.4073,1953.91)
6244: (x,y) = (-39.247,1975.49)
6245: (x,y) = (-16.6057,1995.17)
6246: (x,y) = (4.97445,1974.33)
6247: (x,y) = (0.281415,1944.7)
6248: (x,y) = (28.0969,1955.94)
6249: (x,y) = (46.5668,1979.58)
6250: (x,y) = (20.3282,1994.12)
6251: (x,y) = (29.5987,2022.66)
6252: (x,y) = (31.6914,2052.58)
6253: (x,y) = (14.4841,2077.16)
6254: (x,y) = (-5.58982,2099.45)
6255: (x,y) = (18.6807,2117.09)
6256: (x,y) = (20.7734,2087.16)
6257: (x,y) = (-8.77085,2081.95)
6258: (x,y) = (-24.6684,2056.51)
6259: (x,y) = (-35.9066,2084.32)
6260: (x,y) = (-54.7862,2107.64)
6261: (x,y) = (-79.0567,2090)
6262: (x,y) = (-108.506,2084.28)
6263: (x,y) = (-126.975,2060.64)
6264: (x,y) = (-156.52,2055.43)
6265: (x,y) = (-139.312,2030.86)
6266: (x,y) = (-152.932,2057.59)
6267: (x,y) = (-128.358,2074.79)
6268: (x,y) = (-145.565,2099.37)
6269: (x,y) = (-142.429,2129.2)
6270: (x,y) = (-114.063,2138.97)
6271: (x,y) = (-127.683,2165.7)
6272: (x,y) = (-139.885,2138.29)
6273: (x,y) = (-121.415,2114.65)
6274: (x,y) = (-140.699,2091.67)
6275: (x,y) = (-149.969,2063.14)
6276: (x,y) = (-172.611,2043.46)
6277: (x,y) = (-156.713,2068.9)
6278: (x,y) = (-129.524,2081.58)
6279: (x,y) = (-143.144,2054.85)
6280: (x,y) = (-114.612,2045.58)
6281: (x,y) = (-144.539,2047.67)
6282: (x,y) = (-174.247,2043.5)
6283: (x,y) = (-163.009,2071.31)
6284: (x,y) = (-192.785,2074.97)
6285: (x,y) = (-222.13,2068.73)
6286: (x,y) = (-194.514,2057.01)
6287: (x,y) = (-192.944,2086.97)
6288: (x,y) = (-165.329,2098.69)
6289: (x,y) = (-163.759,2128.65)
6290: (x,y) = (-153.992,2157.01)
6291: (x,y) = (-180.481,2171.1)
6292: (x,y) = (-210.366,2173.71)
6293: (x,y) = (-214.022,2143.94)
6294: (x,y) = (-186.616,2156.14)
6295: (x,y) = (-156.78,2159.27)
6296: (x,y) = (-183.269,2145.19)
6297: (x,y) = (-154.16,2152.45)
6298: (x,y) = (-152.59,2122.49)
6299: (x,y) = (-125.626,2109.34)
6300: (x,y) = (-129.801,2139.04)
6301: (x,y) = (-118.079,2111.43)
6302: (x,y) = (-94.1203,2093.38)
6303: (x,y) = (-118.079,2075.32)
6304: (x,y) = (-129.801,2102.94)
6305: (x,y) = (-117.599,2130.34)
6306: (x,y) = (-89.2336,2120.58)
6307: (x,y) = (-116.197,2107.42)
6308: (x,y) = (-132.973,2132.3)
6309: (x,y) = (-103.197,2135.95)
6310: (x,y) = (-79.5565,2117.48)
6311: (x,y) = (-51.5491,2106.73)
6312: (x,y) = (-34.3418,2131.3)
6313: (x,y) = (-60.3226,2146.3)
6314: (x,y) = (-55.6295,2116.67)
6315: (x,y) = (-75.3113,2094.03)
6316: (x,y) = (-46.7796,2084.76)
6317: (x,y) = (-54.0372,2055.65)
6318: (x,y) = (-32.4571,2034.81)
6319: (x,y) = (-2.57121,2037.43)
6320: (x,y) = (26.1179,2028.66)
6321: (x,y) = (52.6064,2042.74)
6322: (x,y) = (78.5871,2057.74)
6323: (x,y) = (50.5797,2068.49)
6324: (x,y) = (21.8906,2077.26)
6325: (x,y) = (39.5241,2101.53)
6326: (x,y) = (63.4832,2119.59)
6327: (x,y) = (49.8635,2092.86)
6328: (x,y) = (61.1017,2120.67)
6329: (x,y) = (80.3853,2097.69)
6330: (x,y) = (56.4262,2079.64)
6331: (x,y) = (79.7406,2098.52)
6332: (x,y) = (67.0621,2125.71)
6333: (x,y) = (85.1165,2149.67)
6334: (x,y) = (77.8589,2120.56)
6335: (x,y) = (57.7849,2098.26)
6336: (x,y) = (43.2406,2124.5)
6337: (x,y) = (26.9015,2099.34)
6338: (x,y) = (34.666,2128.32)
6339: (x,y) = (21.9875,2155.51)
6340: (x,y) = (8.83637,2182.47)
6341: (x,y) = (8.3128,2152.48)
6342: (x,y) = (6.2201,2182.4)
6343: (x,y) = (-23.4879,2186.58)
6344: (x,y) = (-8.0368,2212.29)
6345: (x,y) = (21.0721,2219.55)
6346: (x,y) = (22.6422,2189.59)
6347: (x,y) = (24.2122,2159.63)
6348: (x,y) = (0.571908,2178.1)
6349: (x,y) = (-19.1099,2155.46)
6350: (x,y) = (-45.3485,2170.01)
6351: (x,y) = (-15.3667,2168.96)
6352: (x,y) = (-34.2463,2192.27)
6353: (x,y) = (-64.2418,2191.75)
6354: (x,y) = (-91.8569,2203.47)
6355: (x,y) = (-120.695,2211.74)
6356: (x,y) = (-137.902,2187.17)
6357: (x,y) = (-125.7,2214.57)
6358: (x,y) = (-105.626,2236.87)
6359: (x,y) = (-135.553,2238.96)
6360: (x,y) = (-146.791,2211.14)
6361: (x,y) = (-168.732,2231.6)
6362: (x,y) = (-167.162,2261.56)
6363: (x,y) = (-137.235,2263.66)
6364: (x,y) = (-166.779,2258.45)
6365: (x,y) = (-138.09,2249.68)
6366: (x,y) = (-156.56,2226.04)
6367: (x,y) = (-137.68,2202.72)
6368: (x,y) = (-138.727,2232.7)
6369: (x,y) = (-168.723,2233.23)
6370: (x,y) = (-155.103,2206.5)
6371: (x,y) = (-150.41,2236.13)
6372: (x,y) = (-149.363,2266.11)
6373: (x,y) = (-123.648,2281.56)
6374: (x,y) = (-132.419,2252.87)
6375: (x,y) = (-104.053,2262.64)
6376: (x,y) = (-82.8402,2283.85)
6377: (x,y) = (-111.949,2291.11)
6378: (x,y) = (-140.927,2298.87)
6379: (x,y) = (-125.927,2324.85)
6380: (x,y) = (-127.497,2294.89)
6381: (x,y) = (-105.917,2274.06)
6382: (x,y) = (-90.0191,2299.5)
6383: (x,y) = (-90.5427,2269.5)
6384: (x,y) = (-112.483,2289.96)
6385: (x,y) = (-110.913,2319.92)
6386: (x,y) = (-102.142,2348.61)
6387: (x,y) = (-115.293,2321.65)
6388: (x,y) = (-142.023,2335.27)
6389: (x,y) = (-112.247,2331.61)
6390: (x,y) = (-101.009,2303.79)
6391: (x,y) = (-78.3675,2323.48)
6392: (x,y) = (-98.0493,2346.12)
6393: (x,y) = (-69.6837,2355.88)
6394: (x,y) = (-48.4705,2377.1)
6395: (x,y) = (-77.7016,2370.35)
6396: (x,y) = (-95.3352,2346.08)
6397: (x,y) = (-121.316,2361.08)
6398: (x,y) = (-92.3382,2368.84)
6399: (x,y) = (-120.704,2359.08)
6400: (x,y) = (-148.711,2348.32)
6401: (x,y) = (-128.637,2326.03)
6402: (x,y) = (-123.428,2296.49)
6403: (x,y) = (-151.959,2305.76)
6404: (x,y) = (-123.27,2296.99)
6405: (x,y) = (-102.057,2318.2)
6406: (x,y) = (-84.0027,2342.16)
6407: (x,y) = (-88.6957,2312.53)
6408: (x,y) = (-114.411,2297.08)
6409: (x,y) = (-138.051,2278.61)
6410: (x,y) = (-114.737,2259.73)
6411: (x,y) = (-85.1924,2254.52)
6412: (x,y) = (-115.028,2257.65)
6413: (x,y) = (-86.6625,2267.42)
6414: (x,y) = (-92.3868,2237.97)
6415: (x,y) = (-72.705,2215.33)
6416: (x,y) = (-80.9742,2244.17)
6417: (x,y) = (-108.163,2231.49)
6418: (x,y) = (-96.9252,2259.3)
6419: (x,y) = (-116.607,2281.95)
6420: (x,y) = (-145.139,2272.67)
6421: (x,y) = (-115.139,2272.67)
6422: (x,y) = (-144.847,2276.85)
6423: (x,y) = (-119.132,2261.4)
6424: (x,y) = (-90.9409,2271.66)
6425: (x,y) = (-90.9409,2301.66)
6426: (x,y) = (-119.63,2310.43)
6427: (x,y) = (-137.264,2334.7)
6428: (x,y) = (-148.502,2362.52)
6429: (x,y) = (-129.218,2385.5)
6430: (x,y) = (-104.644,2368.29)
6431: (x,y) = (-84.1837,2346.35)
6432: (x,y) = (-54.2019,2347.4)
6433: (x,y) = (-66.8805,2320.21)
6434: (x,y) = (-37.6494,2313.46)
6435: (x,y) = (-8.67161,2305.69)
6436: (x,y) = (1.58899,2277.5)
6437: (x,y) = (24.2303,2297.19)
6438: (x,y) = (12.0282,2269.78)
6439: (x,y) = (41.2593,2276.53)
6440: (x,y) = (21.5775,2299.17)
6441: (x,y) = (27.3018,2328.62)
6442: (x,y) = (10.526,2303.75)
6443: (x,y) = (28.1596,2279.48)
6444: (x,y) = (54.1403,2264.48)
6445: (x,y) = (32.9271,2285.69)
6446: (x,y) = (14.0475,2309)
6447: (x,y) = (32.5173,2285.36)
6448: (x,y) = (7.0759,2269.47)
6449: (x,y) = (-21.6132,2260.7)
6450: (x,y) = (-15.889,2290.14)
6451: (x,y) = (2.99064,2313.46)
6452: (x,y) = (-25.5411,2304.19)
6453: (x,y) = (-42.3168,2329.06)
6454: (x,y) = (-51.5874,2300.53)
6455: (x,y) = (-51.5874,2330.53)
6456: (x,y) = (-76.4585,2313.75)
6457: (x,y) = (-67.6873,2285.06)
6458: (x,y) = (-91.9578,2267.43)
6459: (x,y) = (-67.0867,2250.65)
6460: (x,y) = (-39.4716,2238.93)
6461: (x,y) = (-69.4533,2237.88)
6462: (x,y) = (-95.6919,2252.43)
6463: (x,y) = (-67.6845,2241.68)
6464: (x,y) = (-53.1402,2215.44)
6465: (x,y) = (-23.6914,2221.16)
6466: (x,y) = (-52.3805,2212.39)
6467: (x,y) = (-71.6641,2189.41)
6468: (x,y) = (-64.4065,2160.3)
6469: (x,y) = (-43.1933,2139.09)
6470: (x,y) = (-55.8718,2166.28)
6471: (x,y) = (-38.6645,2190.85)
6472: (x,y) = (-14.09,2208.06)
6473: (x,y) = (15.5407,2203.37)
6474: (x,y) = (45.5361,2203.89)
6475: (x,y) = (75.422,2206.5)
6476: (x,y) = (105.417,2205.98)
6477: (x,y) = (135.376,2207.55)
6478: (x,y) = (156.216,2185.97)
6479: (x,y) = (130.501,2170.52)
6480: (x,y) = (102.31,2160.26)
6481: (x,y) = (99.6955,2130.37)
6482: (x,y) = (78.8558,2151.95)
6483: (x,y) = (78.8558,2121.95)
6484: (x,y) = (105.094,2136.5)
6485: (x,y) = (131.825,2150.12)
6486: (x,y) = (113.355,2126.48)
6487: (x,y) = (99.735,2099.75)
6488: (x,y) = (69.8994,2096.61)
6489: (x,y) = (93.2137,2077.73)
6490: (x,y) = (97.9068,2107.36)
6491: (x,y) = (69.0689,2115.63)
6492: (x,y) = (45.1099,2133.69)
6493: (x,y) = (37.3453,2162.66)
6494: (x,y) = (66.3231,2170.43)
6495: (x,y) = (87.1628,2148.85)
6496: (x,y) = (74.0117,2175.81)
6497: (x,y) = (48.5702,2159.91)
6498: (x,y) = (18.6433,2157.82)
6499: (x,y) = (41.6247,2177.11)
6500: (x,y) = (12.2802,2183.34)
6501: (x,y) = (-17.4278,2187.52)
6502: (x,y) = (7.7323,2171.18)
6503: (x,y) = (-19.8828,2159.46)
6504: (x,y) = (-48.572,2168.23)
6505: (x,y) = (-22.857,2152.78)
6506: (x,y) = (-17.6475,2182.32)
6507: (x,y) = (7.2236,2199.1)
6508: (x,y) = (-20.1828,2186.89)
6509: (x,y) = (-22.2755,2156.97)
6510: (x,y) = (-34.4776,2129.56)
6511: (x,y) = (-31.3417,2099.73)
6512: (x,y) = (-61.0497,2103.9)
6513: (x,y) = (-32.859,2114.16)
6514: (x,y) = (-17.4078,2139.88)
6515: (x,y) = (-45.4152,2129.13)
6516: (x,y) = (-40.7222,2099.49)
6517: (x,y) = (-29.9712,2071.49)
6518: (x,y) = (-8.03055,2051.03)
6519: (x,y) = (-16.2997,2079.87)
6520: (x,y) = (-25.5702,2051.33)
6521: (x,y) = (-25.5702,2021.33)
6522: (x,y) = (-49.2105,2039.8)
6523: (x,y) = (-50.7806,2009.84)
6524: (x,y) = (-21.8028,2017.61)
6525: (x,y) = (-49.418,2029.33)
6526: (x,y) = (-71.7123,2009.26)
6527: (x,y) = (-41.7534,2010.83)
6528: (x,y) = (-12.2092,2016.04)
6529: (x,y) = (-8.03398,1986.33)
6530: (x,y) = (-5.41931,1956.44)
6531: (x,y) = (-35.401,1957.49)
6532: (x,y) = (-35.401,1987.49)
6533: (x,y) = (-49.0208,1960.76)
6534: (x,y) = (-57.7919,1932.07)
6535: (x,y) = (-75.4255,1956.34)
6536: (x,y) = (-72.2896,1986.18)
6537: (x,y) = (-99.4788,1973.5)
6538: (x,y) = (-127.67,1983.76)
6539: (x,y) = (-118.399,1955.23)
6540: (x,y) = (-129.637,1983.04)
6541: (x,y) = (-125.462,1953.33)
6542: (x,y) = (-118.204,1982.44)
6543: (x,y) = (-145.611,1994.65)
6544: (x,y) = (-175.241,1999.34)
6545: (x,y) = (-196.455,2020.55)
6546: (x,y) = (-216.136,1997.91)
6547: (x,y) = (-192.496,1979.44)
6548: (x,y) = (-177.952,1953.2)
6549: (x,y) = (-162.054,1978.64)
6550: (x,y) = (-150.816,2006.46)
6551: (x,y) = (-180.265,2000.73)
6552: (x,y) = (-154.55,1985.28)
6553: (x,y) = (-180.531,1970.28)
6554: (x,y) = (-154.292,1955.74)
6555: (x,y) = (-178.563,1938.11)
6556: (x,y) = (-193.563,1912.12)
6557: (x,y) = (-222.794,1905.38)
6558: (x,y) = (-223.841,1935.36)
6559: (x,y) = (-234.101,1907.17)
6560: (x,y) = (-205.412,1898.4)
6561: (x,y) = (-175.636,1902.05)
6562: (x,y) = (-160.636,1876.07)
6563: (x,y) = (-143.002,1851.8)
6564: (x,y) = (-158.9,1877.24)
6565: (x,y) = (-146.221,1904.43)
6566: (x,y) = (-129.445,1879.56)
6567: (x,y) = (-123.208,1908.9)
6568: (x,y) = (-146.848,1927.37)
6569: (x,y) = (-119.442,1915.17)
6570: (x,y) = (-135.34,1889.73)
6571: (x,y) = (-143.609,1860.89)
6572: (x,y) = (-151.373,1831.92)
6573: (x,y) = (-130.16,1810.7)
6574: (x,y) = (-123.923,1781.36)
6575: (x,y) = (-109.839,1754.87)
6576: (x,y) = (-109.839,1784.87)
6577: (x,y) = (-136.327,1798.95)
6578: (x,y) = (-141.536,1769.41)
6579: (x,y) = (-146.229,1739.78)
6580: (x,y) = (-172.21,1724.78)
6581: (x,y) = (-200.218,1714.03)
6582: (x,y) = (-201.788,1743.99)
6583: (x,y) = (-182.908,1767.3)
6584: (x,y) = (-176.16,1738.07)
6585: (x,y) = (-163.008,1711.11)
6586: (x,y) = (-164.055,1681.12)
6587: (x,y) = (-192.745,1689.9)
6588: (x,y) = (-162.749,1690.42)
6589: (x,y) = (-181.219,1666.78)
6590: (x,y) = (-173.454,1637.8)
6591: (x,y) = (-144.617,1629.53)
6592: (x,y) = (-155.368,1657.54)
6593: (x,y) = (-159.024,1687.32)
6594: (x,y) = (-187.555,1696.59)
6595: (x,y) = (-205.189,1672.32)
6596: (x,y) = (-233.721,1681.59)
6597: (x,y) = (-241.99,1710.42)
6598: (x,y) = (-221.916,1688.13)
6599: (x,y) = (-204.709,1663.55)
6600: (x,y) = (-201.052,1693.33)
6601: (x,y) = (-187.433,1720.06)
6602: (x,y) = (-177.666,1748.43)
6603: (x,y) = (-203.646,1733.43)
6604: (x,y) = (-175.115,1742.7)
6605: (x,y) = (-195.955,1721.12)
6606: (x,y) = (-221.396,1737.02)
6607: (x,y) = (-193.205,1726.75)
6608: (x,y) = (-164.673,1736.02)
6609: (x,y) = (-159.464,1706.48)
6610: (x,y) = (-173.548,1679.99)
6611: (x,y) = (-178.758,1709.54)
6612: (x,y) = (-194.209,1735.25)
6613: (x,y) = (-220.939,1721.63)
6614: (x,y) = (-193.533,1733.83)
6615: (x,y) = (-172.319,1755.05)
6616: (x,y) = (-196.278,1773.1)
6617: (x,y) = (-225.116,1781.37)
6618: (x,y) = (-219.907,1810.91)
6619: (x,y) = (-244.177,1828.55)
6620: (x,y) = (-219.907,1846.18)
6621: (x,y) = (-190.071,1849.32)
6622: (x,y) = (-160.071,1849.32)
6623: (x,y) = (-185.231,1865.66)
6624: (x,y) = (-191.98,1894.89)
6625: (x,y) = (-220.669,1903.66)
6626: (x,y) = (-229.44,1874.97)
6627: (x,y) = (-231.533,1845.04)
6628: (x,y) = (-254.847,1863.92)
6629: (x,y) = (-248.61,1893.27)
6630: (x,y) = (-244.954,1923.04)
6631: (x,y) = (-266.534,1902.2)
6632: (x,y) = (-289.848,1921.08)
6633: (x,y) = (-262.885,1934.23)
6634: (x,y) = (-245.251,1909.96)
6635: (x,y) = (-273.258,1920.72)
6636: (x,y) = (-282.529,1892.18)
6637: (x,y) = (-257.658,1875.41)
6638: (x,y) = (-228.209,1881.13)
6639: (x,y) = (-228.209,1851.13)
6640: (x,y) = (-239.931,1823.52)
6641: (x,y) = (-257.138,1848.09)
6642: (x,y) = (-270.758,1821.36)
6643: (x,y) = (-285.758,1795.38)
6644: (x,y) = (-259.269,1781.3)
6645: (x,y) = (-260.84,1751.34)
6646: (x,y) = (-253.075,1722.36)
6647: (x,y) = (-223.844,1715.61)
6648: (x,y) = (-214.077,1743.98)
6649: (x,y) = (-229.974,1718.54)
6650: (x,y) = (-249.656,1741.18)
6651: (x,y) = (-221.649,1730.43)
6652: (x,y) = (-234.8,1703.46)
6653: (x,y) = (-204.873,1705.55)
6654: (x,y) = (-222.507,1729.82)
6655: (x,y) = (-193.275,1723.08)
6656: (x,y) = (-169.961,1741.96)
6657: (x,y) = (-141.77,1752.22)
6658: (x,y) = (-158.978,1776.79)
6659: (x,y) = (-188.978,1776.79)
6660: (x,y) = (-193.153,1806.5)
6661: (x,y) = (-187.943,1836.04)
6662: (x,y) = (-184.287,1806.27)
6663: (x,y) = (-199.738,1780.55)
6664: (x,y) = (-208.51,1809.24)
6665: (x,y) = (-230.45,1788.78)
6666: (x,y) = (-230.45,1758.78)
6667: (x,y) = (-200.455,1758.26)
6668: (x,y) = (-229.999,1753.05)
6669: (x,y) = (-256.729,1766.67)
6670: (x,y) = (-280.369,1785.14)
6671: (x,y) = (-261.49,1761.82)
6672: (x,y) = (-256.797,1732.19)
6673: (x,y) = (-263.545,1702.96)
6674: (x,y) = (-293.176,1698.27)
6675: (x,y) = (-302.943,1669.9)
6676: (x,y) = (-331.781,1678.17)
6677: (x,y) = (-302.55,1671.42)
6678: (x,y) = (-313.301,1699.43)
6679: (x,y) = (-322.072,1728.12)
6680: (x,y) = (-343.285,1706.91)
6681: (x,y) = (-355.487,1734.31)
6682: (x,y) = (-333.193,1714.24)
6683: (x,y) = (-342.96,1742.6)
6684: (x,y) = (-357.044,1769.09)
6685: (x,y) = (-353.908,1798.93)
6686: (x,y) = (-328.467,1783.03)
6687: (x,y) = (-356.082,1794.75)
6688: (x,y) = (-328.676,1782.55)
6689: (x,y) = (-303.805,1765.78)
6690: (x,y) = (-329.785,1750.78)
6691: (x,y) = (-321.516,1779.61)
6692: (x,y) = (-317.341,1749.91)
6693: (x,y) = (-335.395,1773.86)
6694: (x,y) = (-365.281,1771.25)
6695: (x,y) = (-338.092,1783.93)
6696: (x,y) = (-308.548,1778.72)
6697: (x,y) = (-283.388,1762.38)
6698: (x,y) = (-256.198,1775.06)
6699: (x,y) = (-237.729,1798.7)
6700: (x,y) = (-253.18,1824.41)
6701: (x,y) = (-229.865,1843.29)
6702: (x,y) = (-247.92,1819.33)
6703: (x,y) = (-246.873,1789.35)
6704: (x,y) = (-233.722,1762.39)
6705: (x,y) = (-220.102,1789.12)
6706: (x,y) = (-195.527,1806.33)
6707: (x,y) = (-169.039,1792.24)
6708: (x,y) = (-149.755,1815.22)
6709: (x,y) = (-174.626,1832)
6710: (x,y) = (-154.945,1809.36)
6711: (x,y) = (-180.105,1825.7)
6712: (x,y) = (-184.798,1796.07)
6713: (x,y) = (-185.321,1766.07)
6714: (x,y) = (-203.791,1789.71)
6715: (x,y) = (-175.426,1799.48)
6716: (x,y) = (-145.649,1795.82)
6717: (x,y) = (-148.785,1825.66)
6718: (x,y) = (-129.103,1848.3)
6719: (x,y) = (-103.123,1833.3)
6720: (x,y) = (-90.9206,1805.89)
6721: (x,y) = (-110.602,1828.53)
6722: (x,y) = (-107.466,1798.7)
6723: (x,y) = (-132.627,1782.36)
6724: (x,y) = (-138.864,1753.01)
6725: (x,y) = (-111.9,1739.86)
6726: (x,y) = (-127.798,1714.42)
6727: (x,y) = (-142.798,1740.4)
6728: (x,y) = (-127.347,1714.69)
6729: (x,y) = (-148.56,1735.9)
6730: (x,y) = (-127.347,1757.11)
6731: (x,y) = (-115.144,1729.71)
6732: (x,y) = (-94.3047,1751.29)
6733: (x,y) = (-90.1295,1721.58)
6734: (x,y) = (-83.8922,1750.92)
6735: (x,y) = (-55.3605,1741.65)
6736: (x,y) = (-26.9949,1731.89)
6737: (x,y) = (-39.197,1759.29)
6738: (x,y) = (-69.0327,1756.16)
6739: (x,y) = (-72.6887,1726.38)
6740: (x,y) = (-77.8982,1696.84)
6741: (x,y) = (-99.8388,1717.3)
6742: (x,y) = (-80.5552,1740.28)
6743: (x,y) = (-108.921,1750.05)
6744: (x,y) = (-88.081,1771.63)
6745: (x,y) = (-118.063,1772.67)
6746: (x,y) = (-100.008,1796.63)
6747: (x,y) = (-98.9613,1766.65)
6748: (x,y) = (-124.121,1782.99)
6749: (x,y) = (-97.1576,1769.84)
6750: (x,y) = (-109.36,1797.24)
6751: (x,y) = (-88.8997,1775.3)
6752: (x,y) = (-96.6643,1804.28)
6753: (x,y) = (-100.839,1774.57)
6754: (x,y) = (-129.948,1781.83)
6755: (x,y) = (-147.156,1757.26)
6756: (x,y) = (-156.426,1785.79)
6757: (x,y) = (-152.77,1756.01)
6758: (x,y) = (-122.884,1753.4)
6759: (x,y) = (-103.601,1776.38)
6760: (x,y) = (-96.3429,1747.27)
6761: (x,y) = (-73.3616,1766.55)
6762: (x,y) = (-97.6321,1748.92)
6763: (x,y) = (-71.3935,1734.38)
6764: (x,y) = (-100.842,1728.65)
6765: (x,y) = (-88.1638,1701.46)
6766: (x,y) = (-118.05,1698.85)
6767: (x,y) = (-147.758,1703.02)
6768: (x,y) = (-142.033,1673.57)
6769: (x,y) = (-112.689,1679.81)
6770: (x,y) = (-94.2191,1656.17)
6771: (x,y) = (-124.215,1655.65)
6772: (x,y) = (-96.2072,1666.4)
6773: (x,y) = (-115.491,1643.42)
6774: (x,y) = (-140.065,1626.21)
6775: (x,y) = (-125.065,1600.23)
6776: (x,y) = (-119.341,1570.78)
6777: (x,y) = (-142.322,1590.06)
6778: (x,y) = (-139.187,1619.9)
6779: (x,y) = (-127.948,1647.71)
6780: (x,y) = (-98.8395,1640.46)
6781: (x,y) = (-88.5789,1668.65)
6782: (x,y) = (-60.5715,1679.4)
6783: (x,y) = (-36.6124,1661.34)
6784: (x,y) = (-10.124,1647.26)
6785: (x,y) = (4.87602,1673.24)
6786: (x,y) = (-23.6557,1663.97)
6787: (x,y) = (-18.9626,1693.6)
6788: (x,y) = (8.65251,1681.88)
6789: (x,y) = (-20.5786,1675.13)
6790: (x,y) = (9.38029,1676.7)
6791: (x,y) = (-11.0797,1698.64)
6792: (x,y) = (-19.3488,1727.48)
6793: (x,y) = (-19.8724,1757.47)
6794: (x,y) = (-27.13,1786.58)
6795: (x,y) = (-13.5103,1759.85)
6796: (x,y) = (-19.7476,1730.51)
6797: (x,y) = (-48.2793,1739.78)
6798: (x,y) = (-19.9138,1730.01)
6799: (x,y) = (-49.9092,1730.54)
6800: (x,y) = (-79.7449,1733.67)
6801: (x,y) = (-69.9778,1705.31)
6802: (x,y) = (-88.0323,1681.35)
6803: (x,y) = (-76.3103,1708.96)
6804: (x,y) = (-104.501,1719.22)
6805: (x,y) = (-81.5198,1699.94)
6806: (x,y) = (-51.7434,1703.6)
6807: (x,y) = (-47.0504,1733.23)
6808: (x,y) = (-52.2598,1762.77)
6809: (x,y) = (-52.7834,1792.77)
6810: (x,y) = (-24.776,1803.52)
6811: (x,y) = (-22.6833,1833.44)
6812: (x,y) = (-51.0488,1843.21)
6813: (x,y) = (-48.9561,1813.28)
6814: (x,y) = (-29.2744,1835.92)
6815: (x,y) = (0.561285,1839.06)
6816: (x,y) = (27.5251,1825.91)
6817: (x,y) = (12.9808,1852.15)
6818: (x,y) = (35.6221,1832.47)
6819: (x,y) = (5.66322,1830.9)
6820: (x,y) = (-24.2637,1828.8)
6821: (x,y) = (-0.62338,1810.33)
6822: (x,y) = (21.3172,1789.87)
6823: (x,y) = (31.5778,1761.68)
6824: (x,y) = (39.3424,1732.71)
6825: (x,y) = (51.0643,1705.09)
6826: (x,y) = (46.3713,1734.72)
6827: (x,y) = (16.4444,1732.63)
6828: (x,y) = (13.8297,1762.51)
6829: (x,y) = (18.5227,1792.14)
6830: (x,y) = (1.31545,1767.57)
6831: (x,y) = (-21.9989,1786.45)
6832: (x,y) = (-36.0831,1759.96)
6833: (x,y) = (-45.3536,1788.49)
6834: (x,y) = (-71.5922,1773.95)
6835: (x,y) = (-69.4995,1744.02)
6836: (x,y) = (-58.2613,1771.84)
