Target Distance: 100, Step Size: 1
7005: (x,y) = (31.3584,47.1473)
7006: (x,y) = (32.2789,47.538)
7007: (x,y) = (31.2912,47.6945)
7008: (x,y) = (30.8686,48.6008)
7009: (x,y) = (30.0495,48.0272)
7010: (x,y) = (29.0592,47.888)
7011: (x,y) = (28.0666,47.7661)
7012: (x,y) = (29.041,47.5412)
7013: (x,y) = (28.7991,48.5115)
7014: (x,y) = (28.5912,47.5333)
7015: (x,y) = (27.8965,46.814)
7016: (x,y) = (26.9222,47.039)
7017: (x,y) = (27.8732,47.348)
7018: (x,y) = (27.5148,48.2816)
7019: (x,y) = (28.1026,47.4725)
7020: (x,y) = (28.4934,48.393)
7021: (x,y) = (28.9628,49.276)
7022: (x,y) = (27.9683,49.3805)
7023: (x,y) = (28.5561,48.5715)
7024: (x,y) = (28.4342,47.579)
7025: (x,y) = (28.5561,46.5864)
7026: (x,y) = (27.887,45.8433)
7027: (x,y) = (26.9882,46.2816)
7028: (x,y) = (27.9445,45.9893)
7029: (x,y) = (28.0316,46.9855)
7030: (x,y) = (28.6609,47.7626)
7031: (x,y) = (29.6603,47.7975)
7032: (x,y) = (30.6385,47.5896)
7033: (x,y) = (29.6537,47.4159)
7034: (x,y) = (30.5934,47.0739)
7035: (x,y) = (29.8054,47.6896)
7036: (x,y) = (28.8351,47.9315)
7037: (x,y) = (28.2615,47.1124)
7038: (x,y) = (27.2653,47.0252)
7039: (x,y) = (26.3743,47.4792)
7040: (x,y) = (27.1623,46.8635)
7041: (x,y) = (28.1367,47.0885)
7042: (x,y) = (29.0764,46.7465)
7043: (x,y) = (29.7057,45.9693)
7044: (x,y) = (30.6905,45.7957)
7045: (x,y) = (30.3321,46.7292)
7046: (x,y) = (29.3359,46.8164)
7047: (x,y) = (30.2105,47.3012)
7048: (x,y) = (29.5812,48.0784)
7049: (x,y) = (29.8569,47.1171)
7050: (x,y) = (30.7632,46.6945)
7051: (x,y) = (31.1378,47.6217)
7052: (x,y) = (30.3831,46.9656)
7053: (x,y) = (29.5259,47.4806)
7054: (x,y) = (30.4962,47.7226)
7055: (x,y) = (31.4938,47.6528)
7056: (x,y) = (31.9632,46.7699)
7057: (x,y) = (31.5565,47.6834)
7058: (x,y) = (30.6905,48.1834)
7059: (x,y) = (30.8984,47.2053)
7060: (x,y) = (29.9587,46.8632)
7061: (x,y) = (29.0251,46.5049)
7062: (x,y) = (28.1116,46.9116)
7063: (x,y) = (27.1213,46.7724)
7064: (x,y) = (26.9994,45.7799)
7065: (x,y) = (26.2681,46.4619)
7066: (x,y) = (25.3409,46.0873)
7067: (x,y) = (25.6993,47.0209)
7068: (x,y) = (25.2609,46.1221)
7069: (x,y) = (26.1519,46.5761)
7070: (x,y) = (25.4087,45.9069)
7071: (x,y) = (24.5177,45.4529)
7072: (x,y) = (24.5701,44.4543)
7073: (x,y) = (24.8289,45.4202)
7074: (x,y) = (23.9153,45.827)
7075: (x,y) = (23.7935,44.8344)
7076: (x,y) = (24.3234,45.6825)
7077: (x,y) = (23.4099,45.2757)
7078: (x,y) = (23.7845,44.3485)
7079: (x,y) = (24.2995,45.2057)
7080: (x,y) = (25.2989,45.2406)
7081: (x,y) = (24.5442,45.8967)
7082: (x,y) = (25.544,45.8792)
7083: (x,y) = (25.4569,46.8754)
7084: (x,y) = (25.7824,45.9299)
7085: (x,y) = (26.7568,46.1548)
7086: (x,y) = (26.7219,47.1542)
7087: (x,y) = (26.5655,48.1419)
7088: (x,y) = (25.9498,48.9299)
7089: (x,y) = (25.4803,48.047)
7090: (x,y) = (25.188,47.0907)
7091: (x,y) = (24.2483,46.7487)
7092: (x,y) = (24.9676,46.054)
7093: (x,y) = (25.6104,46.8201)
7094: (x,y) = (26.4934,47.2895)
7095: (x,y) = (25.7162,46.6602)
7096: (x,y) = (26.2312,47.5174)
7097: (x,y) = (25.5885,46.7513)
7098: (x,y) = (24.6429,47.0769)
7099: (x,y) = (25.1876,46.2382)
7100: (x,y) = (24.5583,47.0154)
7101: (x,y) = (24.2994,46.0494)
7102: (x,y) = (25.2266,46.424)
7103: (x,y) = (25.9698,47.0932)
7104: (x,y) = (26.8358,46.5932)
7105: (x,y) = (27.4651,47.3703)
7106: (x,y) = (28.0387,46.5512)
7107: (x,y) = (27.865,45.5664)
7108: (x,y) = (27.2632,46.365)
7109: (x,y) = (26.9377,47.3105)
7110: (x,y) = (27.6924,46.6545)
7111: (x,y) = (27.063,47.4316)
7112: (x,y) = (26.7047,46.498)
7113: (x,y) = (27.4478,45.8289)
7114: (x,y) = (27.326,46.8214)
7115: (x,y) = (27.9687,47.5875)
7116: (x,y) = (27.0552,47.1807)
7117: (x,y) = (26.0675,47.0243)
7118: (x,y) = (27.0011,47.3827)
7119: (x,y) = (26.0875,46.9759)
7120: (x,y) = (26.6322,46.1373)
7121: (x,y) = (25.7935,46.6819)
7122: (x,y) = (26.5129,47.3766)
7123: (x,y) = (26.322,46.3949)
7124: (x,y) = (25.3657,46.1026)
7125: (x,y) = (25.9249,45.2735)
7126: (x,y) = (25.4401,46.1482)
7127: (x,y) = (24.8245,46.9362)
7128: (x,y) = (25.5191,47.6555)
7129: (x,y) = (25.6928,46.6707)
7130: (x,y) = (26.2374,45.832)
7131: (x,y) = (25.2412,45.9192)
7132: (x,y) = (24.245,46.0063)
7133: (x,y) = (23.294,45.6973)
7134: (x,y) = (22.5059,45.0817)
7135: (x,y) = (23.457,45.3907)
7136: (x,y) = (23.0986,44.4571)
7137: (x,y) = (23.9178,45.0307)
7138: (x,y) = (23.0518,45.5307)
7139: (x,y) = (24.013,45.8063)
7140: (x,y) = (23.1939,46.3799)
7141: (x,y) = (24.1449,46.0709)
7142: (x,y) = (25.1012,46.3632)
7143: (x,y) = (25.0315,45.3657)
7144: (x,y) = (24.0412,45.5049)
7145: (x,y) = (23.6345,46.4184)
7146: (x,y) = (22.6442,46.2792)
7147: (x,y) = (22.2696,45.352)
7148: (x,y) = (21.2734,45.4392)
7149: (x,y) = (21.4298,46.4269)
7150: (x,y) = (21.3949,47.4263)
7151: (x,y) = (20.9101,48.3009)
7152: (x,y) = (20.241,47.5578)
7153: (x,y) = (21.2313,47.6969)
7154: (x,y) = (22.1823,48.0059)
7155: (x,y) = (22.6363,47.1149)
7156: (x,y) = (21.6388,47.0452)
7157: (x,y) = (22.6264,47.2016)
7158: (x,y) = (23.0491,48.1079)
7159: (x,y) = (22.4063,47.3419)
7160: (x,y) = (21.4608,47.6674)
7161: (x,y) = (20.9759,46.7928)
7162: (x,y) = (21.6706,47.5122)
7163: (x,y) = (20.796,47.0274)
7164: (x,y) = (20.9868,48.009)
7165: (x,y) = (20.8823,47.0145)
7166: (x,y) = (20.2003,46.2831)
7167: (x,y) = (19.2606,45.9411)
7168: (x,y) = (18.2729,46.0975)
7169: (x,y) = (17.9145,45.1639)
7170: (x,y) = (17.1055,44.5762)
7171: (x,y) = (17.8248,43.8815)
7172: (x,y) = (17.1955,43.1043)
7173: (x,y) = (16.9367,44.0703)
7174: (x,y) = (16.8669,45.0678)
7175: (x,y) = (17.5863,45.7625)
7176: (x,y) = (16.8202,45.1197)
7177: (x,y) = (15.9214,45.5581)
7178: (x,y) = (14.9602,45.8337)
7179: (x,y) = (15.7793,46.4073)
7180: (x,y) = (15.2201,45.5783)
7181: (x,y) = (14.5908,46.3554)
7182: (x,y) = (15.4896,46.7938)
7183: (x,y) = (15.2477,47.7641)
7184: (x,y) = (14.5163,48.4461)
7185: (x,y) = (15.2234,49.1532)
7186: (x,y) = (15.2932,48.1556)
7187: (x,y) = (14.3229,47.9137)
7188: (x,y) = (14.9107,48.7227)
7189: (x,y) = (14.0535,48.2077)
7190: (x,y) = (14.4919,49.1065)
7191: (x,y) = (14.5268,50.1059)
7192: (x,y) = (14.4919,51.1052)
7193: (x,y) = (14.1499,52.0449)
7194: (x,y) = (14.6039,51.1539)
7195: (x,y) = (13.6162,51.3104)
7196: (x,y) = (13.2094,50.3968)
7197: (x,y) = (14.0185,50.9846)
7198: (x,y) = (15.0001,51.1754)
7199: (x,y) = (15.53,52.0235)
7200: (x,y) = (15.7888,51.0575)
7201: (x,y) = (15.6324,52.0452)
7202: (x,y) = (15.2256,51.1317)
7203: (x,y) = (16.1003,51.6165)
7204: (x,y) = (15.194,51.1939)
7205: (x,y) = (14.3553,50.6492)
7206: (x,y) = (14.9289,49.8301)
7207: (x,y) = (15.3829,48.9391)
7208: (x,y) = (14.8678,48.0819)
7209: (x,y) = (14.5423,49.0274)
7210: (x,y) = (13.6287,48.6207)
7211: (x,y) = (13.2061,49.527)
7212: (x,y) = (12.6762,48.6789)
7213: (x,y) = (12.0468,47.9018)
7214: (x,y) = (12.0119,48.9012)
7215: (x,y) = (11.6373,47.974)
7216: (x,y) = (10.7893,48.5039)
7217: (x,y) = (11.7838,48.6085)
7218: (x,y) = (11.923,49.5987)
7219: (x,y) = (12.1986,50.56)
7220: (x,y) = (11.4,49.9582)
7221: (x,y) = (10.571,50.5174)
7222: (x,y) = (9.6199,50.8264)
7223: (x,y) = (8.62051,50.7915)
7224: (x,y) = (7.99119,51.5686)
7225: (x,y) = (7.83475,52.5563)
7226: (x,y) = (7.12764,51.8492)
7227: (x,y) = (6.73691,50.9287)
7228: (x,y) = (6.02981,51.6358)
7229: (x,y) = (5.70424,52.5813)
7230: (x,y) = (4.70561,52.6337)
7231: (x,y) = (5.09634,51.7132)
7232: (x,y) = (4.21339,51.2437)
7233: (x,y) = (4.65176,52.1425)
7234: (x,y) = (5.43977,51.5268)
7235: (x,y) = (5.69859,50.5609)
7236: (x,y) = (4.84143,51.0759)
7237: (x,y) = (4.08672,51.732)
7238: (x,y) = (4.01696,52.7296)
7239: (x,y) = (4.89991,53.199)
7240: (x,y) = (4.5253,52.2718)
7241: (x,y) = (3.53761,52.4283)
7242: (x,y) = (4.49887,52.7039)
7243: (x,y) = (3.89706,53.5026)
7244: (x,y) = (4.6402,54.1717)
7245: (x,y) = (5.5799,53.8297)
7246: (x,y) = (5.18917,52.9092)
7247: (x,y) = (4.20436,52.7355)
7248: (x,y) = (3.41635,52.1198)
7249: (x,y) = (4.27351,51.6048)
7250: (x,y) = (4.16899,50.6103)
7251: (x,y) = (4.7708,49.8117)
7252: (x,y) = (5.74517,49.5867)
7253: (x,y) = (6.22998,48.7121)
7254: (x,y) = (5.60066,49.4892)
7255: (x,y) = (6.57881,49.2813)
7256: (x,y) = (7.36682,49.897)
7257: (x,y) = (8.36301,49.8098)
7258: (x,y) = (7.80382,48.9808)
7259: (x,y) = (8.49848,49.7001)
7260: (x,y) = (8.25656,50.6704)
7261: (x,y) = (8.85837,51.4691)
7262: (x,y) = (9.79195,51.1107)
7263: (x,y) = (8.79439,51.0409)
7264: (x,y) = (9.77602,50.8501)
7265: (x,y) = (8.78347,50.972)
7266: (x,y) = (9.73453,50.663)
7267: (x,y) = (10.7193,50.8366)
7268: (x,y) = (11.3885,50.0935)
7269: (x,y) = (12.0041,49.3055)
7270: (x,y) = (12.7813,49.9348)
7271: (x,y) = (13.0903,50.8858)
7272: (x,y) = (12.6055,51.7605)
7273: (x,y) = (12.8979,50.8042)
7274: (x,y) = (13.2234,51.7497)
7275: (x,y) = (14.0621,52.2943)
7276: (x,y) = (14.0098,51.2957)
7277: (x,y) = (14.7529,50.6266)
7278: (x,y) = (14.6657,51.6227)
7279: (x,y) = (14.0922,52.4419)
7280: (x,y) = (13.1586,52.8003)
7281: (x,y) = (12.5429,52.0123)
7282: (x,y) = (12.8519,52.9633)
7283: (x,y) = (12.0133,53.508)
7284: (x,y) = (11.0256,53.6644)
7285: (x,y) = (11.3012,54.6257)
7286: (x,y) = (10.5941,55.3328)
7287: (x,y) = (10.7505,56.3204)
7288: (x,y) = (11.2656,55.4633)
7289: (x,y) = (10.8116,54.5723)
7290: (x,y) = (10.2098,55.3709)
7291: (x,y) = (10.3316,54.3784)
7292: (x,y) = (10.7856,53.4874)
7293: (x,y) = (11.7128,53.1127)
7294: (x,y) = (12.6038,52.6588)
7295: (x,y) = (11.6766,53.0334)
7296: (x,y) = (12.5972,53.4241)
7297: (x,y) = (11.6046,53.3022)
7298: (x,y) = (10.623,53.493)
7299: (x,y) = (9.73197,53.039)
7300: (x,y) = (9.01263,53.7337)
7301: (x,y) = (9.18628,54.7185)
7302: (x,y) = (9.35993,53.7337)
7303: (x,y) = (8.75811,54.5323)
7304: (x,y) = (9.75066,54.6542)
7305: (x,y) = (10.7383,54.4978)
7306: (x,y) = (9.79283,54.8233)
7307: (x,y) = (9.86259,53.8258)
7308: (x,y) = (8.86319,53.7909)
7309: (x,y) = (8.62127,52.8206)
7310: (x,y) = (8.63873,51.8207)
7311: (x,y) = (9.58424,51.4952)
7312: (x,y) = (8.96858,52.2832)
7313: (x,y) = (8.14943,51.7096)
7314: (x,y) = (9.14943,51.7096)
7315: (x,y) = (9.63424,50.835)
7316: (x,y) = (8.68872,51.1605)
7317: (x,y) = (9.67899,51.2997)
7318: (x,y) = (10.6126,51.6581)
7319: (x,y) = (10.4047,52.6362)
7320: (x,y) = (10.0791,51.6907)
7321: (x,y) = (11.0188,52.0327)
7322: (x,y) = (11.9643,52.3583)
7323: (x,y) = (10.974,52.2191)
7324: (x,y) = (11.9739,52.2017)
7325: (x,y) = (12.9664,52.0798)
7326: (x,y) = (12.1893,51.4505)
7327: (x,y) = (11.9136,50.4892)
7328: (x,y) = (10.9136,50.4892)
7329: (x,y) = (11.7966,50.9587)
7330: (x,y) = (11.5887,51.9368)
7331: (x,y) = (10.5984,51.7977)
7332: (x,y) = (10.2894,52.7487)
7333: (x,y) = (10.0138,51.7875)
7334: (x,y) = (10.7331,51.0928)
7335: (x,y) = (10.3105,51.9991)
7336: (x,y) = (9.85649,52.8901)
7337: (x,y) = (9.4025,53.7811)
7338: (x,y) = (9.24606,52.7934)
7339: (x,y) = (9.73087,51.9188)
7340: (x,y) = (9.30825,51.0125)
7341: (x,y) = (10.0276,51.7072)
7342: (x,y) = (9.13659,52.1612)
7343: (x,y) = (10.1069,52.4031)
7344: (x,y) = (9.91607,51.4215)
7345: (x,y) = (10.8224,51.8441)
7346: (x,y) = (9.82619,51.7569)
7347: (x,y) = (10.311,52.6315)
7348: (x,y) = (11.1497,53.1762)
7349: (x,y) = (11.3576,54.1543)
7350: (x,y) = (12.1767,54.7279)
7351: (x,y) = (12.4356,53.762)
7352: (x,y) = (12.2791,54.7497)
7353: (x,y) = (12.8527,55.5688)
7354: (x,y) = (13.8186,55.31)
7355: (x,y) = (14.6846,54.81)
7356: (x,y) = (14.8583,53.8252)
7357: (x,y) = (15.1002,54.7955)
7358: (x,y) = (14.3809,54.1008)
7359: (x,y) = (15.2638,53.6314)
7360: (x,y) = (15.0219,54.6017)
7361: (x,y) = (14.0708,54.2926)
7362: (x,y) = (13.1253,54.6182)
7363: (x,y) = (12.2773,54.0883)
7364: (x,y) = (12.2424,55.0877)
7365: (x,y) = (13.224,54.8969)
7366: (x,y) = (12.2785,54.5713)
7367: (x,y) = (11.4125,54.0713)
7368: (x,y) = (12.3396,53.6967)
7369: (x,y) = (13.2226,53.2272)
7370: (x,y) = (14.1562,53.5856)
7371: (x,y) = (13.4248,52.9036)
7372: (x,y) = (14.3861,53.1792)
7373: (x,y) = (13.3916,53.2838)
7374: (x,y) = (13.066,54.2293)
7375: (x,y) = (13.1705,53.2348)
7376: (x,y) = (13.4795,54.1858)
7377: (x,y) = (12.5052,54.4108)
7378: (x,y) = (11.6305,53.926)
7379: (x,y) = (11.3717,54.8919)
7380: (x,y) = (10.9491,53.9856)
7381: (x,y) = (10.5107,53.0868)
7382: (x,y) = (10.3716,52.0965)
7383: (x,y) = (9.56255,51.5087)
7384: (x,y) = (8.57486,51.6652)
7385: (x,y) = (8.07486,52.5312)
7386: (x,y) = (7.08034,52.4267)
7387: (x,y) = (7.06288,53.4265)
7388: (x,y) = (6.10162,53.1509)
7389: (x,y) = (6.32657,52.1765)
7390: (x,y) = (6.76494,51.2777)
7391: (x,y) = (5.7724,51.3996)
7392: (x,y) = (6.76494,51.2777)
7393: (x,y) = (7.62211,50.7627)
7394: (x,y) = (8.52842,51.1853)
7395: (x,y) = (8.59818,52.1828)
7396: (x,y) = (9.34132,51.5137)
7397: (x,y) = (9.21945,52.5063)
7398: (x,y) = (8.2413,52.7142)
7399: (x,y) = (8.67968,51.8154)
7400: (x,y) = (9.03804,52.749)
7401: (x,y) = (8.05036,52.5925)
7402: (x,y) = (8.90752,53.1076)
7403: (x,y) = (8.97728,54.1051)
7404: (x,y) = (8.41809,53.2761)
7405: (x,y) = (9.39246,53.501)
7406: (x,y) = (8.80467,52.692)
7407: (x,y) = (9.42033,51.904)
7408: (x,y) = (8.42033,51.904)
7409: (x,y) = (9.12744,51.1969)
7410: (x,y) = (9.38626,50.231)
7411: (x,y) = (9.84025,49.34)
7412: (x,y) = (10.1658,50.2855)
7413: (x,y) = (10.6658,51.1515)
7414: (x,y) = (9.76702,51.5899)
7415: (x,y) = (9.31303,50.6989)
7416: (x,y) = (8.31303,50.6989)
7417: (x,y) = (7.46498,50.169)
7418: (x,y) = (6.56619,49.7306)
7419: (x,y) = (6.19158,48.8034)
7420: (x,y) = (7.18413,48.9253)
7421: (x,y) = (8.15443,49.1672)
7422: (x,y) = (8.63924,50.0418)
7423: (x,y) = (9.63908,50.0593)
7424: (x,y) = (10.5954,49.7669)
7425: (x,y) = (11.3501,49.1108)
7426: (x,y) = (12.1048,48.4548)
7427: (x,y) = (12.6198,47.5976)
7428: (x,y) = (12.9289,46.6466)
7429: (x,y) = (12.327,47.4452)
7430: (x,y) = (12.0015,48.3907)
7431: (x,y) = (13.0001,48.3384)
7432: (x,y) = (12.0098,48.1992)
7433: (x,y) = (12.9842,48.4242)
7434: (x,y) = (13.6913,47.717)
7435: (x,y) = (14.1297,48.6158)
7436: (x,y) = (15.0285,49.0542)
7437: (x,y) = (15.5133,49.9288)
7438: (x,y) = (15.0749,49.03)
7439: (x,y) = (15.2828,50.0082)
7440: (x,y) = (14.9082,49.081)
7441: (x,y) = (13.9234,49.2547)
7442: (x,y) = (14.8893,49.5135)
7443: (x,y) = (15.6554,48.8707)
7444: (x,y) = (15.4475,49.8488)
7445: (x,y) = (14.4658,50.0396)
7446: (x,y) = (14.7247,51.0056)
7447: (x,y) = (14.9326,50.0274)
7448: (x,y) = (15.8598,50.402)
7449: (x,y) = (16.0506,49.4204)
7450: (x,y) = (16.7937,50.0895)
7451: (x,y) = (16.6373,49.1018)
7452: (x,y) = (17.0757,48.203)
7453: (x,y) = (17.9892,47.7963)
7454: (x,y) = (17.85,46.806)
7455: (x,y) = (16.9754,47.2908)
7456: (x,y) = (16.001,47.5158)
7457: (x,y) = (15.9487,48.5144)
7458: (x,y) = (16.7679,47.9409)
7459: (x,y) = (16.6807,48.937)
7460: (x,y) = (15.9147,48.2943)
7461: (x,y) = (16.1903,49.2555)
7462: (x,y) = (16.9993,48.6677)
7463: (x,y) = (17.6554,49.4224)
7464: (x,y) = (18.4101,48.7664)
7465: (x,y) = (17.5271,49.2359)
7466: (x,y) = (18.4931,48.977)
7467: (x,y) = (17.6944,48.3752)
7468: (x,y) = (16.8557,47.8306)
7469: (x,y) = (16.6478,48.8087)
7470: (x,y) = (17.0705,47.9024)
7471: (x,y) = (17.9692,47.4641)
7472: (x,y) = (18.0041,46.4647)
7473: (x,y) = (18.6602,45.71)
7474: (x,y) = (19.0669,44.7964)
7475: (x,y) = (20.0372,45.0383)
7476: (x,y) = (21.0275,44.8992)
7477: (x,y) = (22.0152,45.0556)
7478: (x,y) = (21.037,45.2635)
7479: (x,y) = (20.6303,44.35)
7480: (x,y) = (19.6793,44.659)
7481: (x,y) = (19.8184,45.6492)
7482: (x,y) = (18.9704,46.1792)
7483: (x,y) = (19.8364,45.6792)
7484: (x,y) = (20.3663,46.5272)
7485: (x,y) = (20.5742,45.5491)
7486: (x,y) = (20.0443,46.3971)
7487: (x,y) = (19.3372,45.69)
7488: (x,y) = (20.2985,45.9656)
7489: (x,y) = (20.3508,46.9643)
7490: (x,y) = (19.3727,46.7564)
7491: (x,y) = (18.8135,45.9273)
7492: (x,y) = (19.6521,46.472)
7493: (x,y) = (18.7316,46.8627)
7494: (x,y) = (17.8111,47.2534)
7495: (x,y) = (18.8037,47.1316)
7496: (x,y) = (17.8038,47.1141)
7497: (x,y) = (18.7698,47.3729)
7498: (x,y) = (17.9037,46.8729)
7499: (x,y) = (17.834,45.8754)
7500: (x,y) = (17.38,46.7664)
7501: (x,y) = (18.331,47.0754)
7502: (x,y) = (17.831,46.2094)
7503: (x,y) = (17.6746,45.2217)
7504: (x,y) = (18.5318,44.7066)
7505: (x,y) = (19.2264,45.426)
7506: (x,y) = (18.3878,45.9706)
7507: (x,y) = (19.1649,45.3413)
7508: (x,y) = (19.7385,46.1604)
7509: (x,y) = (18.7459,46.0386)
7510: (x,y) = (18.9196,47.0234)
7511: (x,y) = (18.9196,48.0234)
7512: (x,y) = (18.9021,47.0235)
7513: (x,y) = (18.233,46.2804)
7514: (x,y) = (18.733,47.1464)
7515: (x,y) = (17.7933,46.8044)
7516: (x,y) = (16.9273,47.3044)
7517: (x,y) = (15.9279,47.2695)
7518: (x,y) = (16.3819,46.3785)
7519: (x,y) = (15.4116,46.6204)
7520: (x,y) = (15.3941,45.6206)
7521: (x,y) = (14.7513,46.3866)
7522: (x,y) = (14.8385,45.3904)
7523: (x,y) = (15.3831,44.5517)
7524: (x,y) = (14.4496,44.9101)
7525: (x,y) = (15.0088,44.0811)
7526: (x,y) = (14.0306,44.289)
7527: (x,y) = (13.1826,43.7591)
7528: (x,y) = (13.9373,43.103)
7529: (x,y) = (14.8883,43.412)
7530: (x,y) = (14.4189,44.295)
7531: (x,y) = (15.0345,43.507)
7532: (x,y) = (14.9996,42.5076)
7533: (x,y) = (15.9995,42.4901)
7534: (x,y) = (15.1248,42.0053)
7535: (x,y) = (14.5802,41.1666)
7536: (x,y) = (15.2873,41.8737)
7537: (x,y) = (16.2849,41.804)
7538: (x,y) = (16.6104,42.7495)
7539: (x,y) = (17.5014,42.2955)
7540: (x,y) = (16.5028,42.2432)
7541: (x,y) = (15.6282,42.728)
7542: (x,y) = (16.0822,43.619)
7543: (x,y) = (16.9013,43.0454)
7544: (x,y) = (16.5758,42.0999)
7545: (x,y) = (16.0311,42.9386)
7546: (x,y) = (15.0652,43.1974)
7547: (x,y) = (15.8199,43.8534)
7548: (x,y) = (16.4077,43.0444)
7549: (x,y) = (16.1998,44.0226)
7550: (x,y) = (16.3734,45.0074)
7551: (x,y) = (16.4258,46.006)
7552: (x,y) = (16.1839,46.9763)
7553: (x,y) = (15.5019,46.245)
7554: (x,y) = (15.3627,45.2547)
7555: (x,y) = (14.6556,45.9618)
7556: (x,y) = (13.6679,46.1182)
7557: (x,y) = (14.0099,47.0579)
7558: (x,y) = (14.9843,46.833)
7559: (x,y) = (15.9829,46.8853)
7560: (x,y) = (16.7601,46.256)
7561: (x,y) = (17.6872,45.8814)
7562: (x,y) = (18.3433,45.1267)
7563: (x,y) = (17.6872,44.372)
7564: (x,y) = (16.8126,43.8871)
7565: (x,y) = (15.8671,44.2127)
7566: (x,y) = (16.8007,43.8543)
7567: (x,y) = (16.525,42.8931)
7568: (x,y) = (17.3997,43.3779)
7569: (x,y) = (18.0424,44.1439)
7570: (x,y) = (17.886,45.1316)
7571: (x,y) = (17.9732,46.1278)
7572: (x,y) = (18.2655,47.0841)
7573: (x,y) = (19.0946,47.6433)
7574: (x,y) = (19.7374,48.4094)
7575: (x,y) = (20.5464,47.8216)
7576: (x,y) = (19.6192,48.1962)
7577: (x,y) = (18.8,47.6226)
7578: (x,y) = (18.2554,46.7839)
7579: (x,y) = (19.169,46.3772)
7580: (x,y) = (18.1813,46.2208)
7581: (x,y) = (18.9126,45.5388)
7582: (x,y) = (19.3352,44.6325)
7583: (x,y) = (18.3649,44.8744)
7584: (x,y) = (17.3674,44.8046)
7585: (x,y) = (16.4163,44.4956)
7586: (x,y) = (15.4238,44.6175)
7587: (x,y) = (14.7546,43.8743)
7588: (x,y) = (14.7197,42.8749)
7589: (x,y) = (13.7742,43.2005)
7590: (x,y) = (13.1449,42.4234)
7591: (x,y) = (12.9541,43.405)
7592: (x,y) = (13.9357,43.5958)
7593: (x,y) = (12.9363,43.5609)
7594: (x,y) = (13.811,43.0761)
7595: (x,y) = (13.0449,42.4333)
7596: (x,y) = (12.2258,41.8597)
7597: (x,y) = (12.8685,41.0937)
7598: (x,y) = (13.8388,40.8518)
7599: (x,y) = (13.4162,39.9455)
7600: (x,y) = (12.8006,39.1574)
7601: (x,y) = (12.8703,40.155)
7602: (x,y) = (13.7363,39.655)
7603: (x,y) = (14.3099,38.8359)
7604: (x,y) = (13.8099,39.7019)
7605: (x,y) = (13.5009,38.7508)
7606: (x,y) = (12.7238,39.3801)
7607: (x,y) = (11.8577,39.8801)
7608: (x,y) = (11.5654,40.8365)
7609: (x,y) = (12.5164,41.1455)
7610: (x,y) = (11.9286,41.9545)
7611: (x,y) = (10.9505,42.1624)
7612: (x,y) = (10.0675,41.6929)
7613: (x,y) = (10.4743,40.7794)
7614: (x,y) = (9.57548,40.341)
7615: (x,y) = (10.4235,40.8709)
7616: (x,y) = (9.75439,41.6141)
7617: (x,y) = (10.6941,41.9561)
7618: (x,y) = (10.025,42.6992)
7619: (x,y) = (10.0599,41.6998)
7620: (x,y) = (10.6617,42.4985)
7621: (x,y) = (11.6603,42.5508)
7622: (x,y) = (12.6306,42.7927)
7623: (x,y) = (13.069,43.6915)
7624: (x,y) = (13.5989,44.5396)
7625: (x,y) = (12.8003,43.9378)
7626: (x,y) = (13.0422,42.9675)
7627: (x,y) = (13.0945,41.9688)
7628: (x,y) = (13.8717,42.5982)
7629: (x,y) = (13.8717,41.5982)
7630: (x,y) = (14.7377,42.0982)
7631: (x,y) = (14.7551,41.0983)
7632: (x,y) = (15.7527,41.0286)
7633: (x,y) = (15.137,40.2405)
7634: (x,y) = (15.1719,41.2399)
7635: (x,y) = (16.1536,41.0491)
7636: (x,y) = (15.5944,41.8782)
7637: (x,y) = (14.9383,41.1235)
7638: (x,y) = (14.1836,41.7795)
7639: (x,y) = (13.9586,42.7539)
7640: (x,y) = (13.4738,43.6285)
7641: (x,y) = (12.7307,44.2976)
7642: (x,y) = (12.7656,43.2982)
7643: (x,y) = (13.6043,42.7536)
7644: (x,y) = (13.9133,43.7047)
7645: (x,y) = (13.4438,44.5876)
7646: (x,y) = (12.8281,43.7996)
7647: (x,y) = (13.0701,44.7699)
7648: (x,y) = (14.0549,44.9435)
7649: (x,y) = (15.0524,45.0133)
7650: (x,y) = (14.2864,44.3705)
7651: (x,y) = (14.7404,45.2615)
7652: (x,y) = (14.2404,44.3955)
7653: (x,y) = (13.6526,43.5865)
7654: (x,y) = (13.0508,44.3851)
7655: (x,y) = (13.5203,43.5022)
7656: (x,y) = (14.3189,42.9004)
7657: (x,y) = (14.5438,41.926)
7658: (x,y) = (14.6657,42.9185)
7659: (x,y) = (15.6651,42.9534)
7660: (x,y) = (14.6948,42.7115)
7661: (x,y) = (14.2881,43.625)
7662: (x,y) = (13.4689,44.1986)
7663: (x,y) = (13.9384,45.0816)
7664: (x,y) = (14.9087,44.8397)
7665: (x,y) = (14.3069,44.041)
7666: (x,y) = (14.5318,43.0666)
7667: (x,y) = (15.4881,42.7743)
7668: (x,y) = (16.3869,42.3359)
7669: (x,y) = (16.8409,43.2269)
7670: (x,y) = (16.9107,44.2245)
7671: (x,y) = (16.8409,45.222)
7672: (x,y) = (17.1333,46.1783)
7673: (x,y) = (18.1327,46.1434)
7674: (x,y) = (18.5234,45.2229)
7675: (x,y) = (19.4797,45.5153)
